feature,importance
trump,4.28122494284988
breaking,4.1578234596003005
report,4.053525166120335
brad,3.6166983781816393
caitlyn,3.2841407278494024
pattinson,3.221804817045569
season,3.1847953973573335
kanye,2.991384806780185
jenner,2.649869364327485
rihanna,2.5413220123074525
celebrities react,2.500060094756722
react,2.480803040938044
robert pattinson,2.4599756169300897
rumors,2.4383577384988704
pitt,2.421282593751062
hollywoodlife,2.420474440461894
despite,2.402578166082337
gwen,2.387435145520623
awards,2.3604806818228234
exclusive,2.3577266074582846
